C_LBDR_property_1,1,0,6291459,0,1,6291459,6291460,0,6291460
C_LBDR_property_2,1,0,6291459,0,1,6291459,6291460,0,6291460
C_LBDR_property_3,1,0,6291459,0,1,6291459,6291460,0,6291460
C_LBDR_property_4,1,0,6111279,180180,1,6291459,6111280,180180,6291460
C_LBDR_property_5,1,0,6291459,0,1,6291459,6291460,0,6291460
C_LBDR_property_6,1,0,6225922,65536,1,6291458,6225923,65536,6291459
C_LBDR_property_7,1,0,6160386,131072,1,6291458,6160387,131072,6291459
C_LBDR_property_8,1,0,6160386,131072,1,6291458,6160387,131072,6291459
C_LBDR_property_9,1,0,3801602,2489856,1,6291458,3801603,2489856,6291459
C_LBDR_property_10,1,0,6225922,65536,1,6291458,6225923,65536,6291459
C_LBDR_property_11,3145728,0,3080193,65536,3145728,3145729,6225921,65536,6291457
C_LBDR_property_12,3145728,0,3014657,131072,3145728,3145729,6160385,131072,6291457
C_LBDR_property_13,3145728,0,3014657,131072,3145728,3145729,6160385,131072,6291457
C_LBDR_property_14,3145728,0,655873,2489856,3145728,3145729,3801601,2489856,6291457
C_LBDR_property_15,3145728,0,3080193,65536,3145728,3145729,6225921,65536,6291457
C_LBDR_property_16,3145729,0,3145729,0,3145729,3145729,6291458,0,6291458
C_LBDR_property_17,3145729,0,3145729,0,3145729,3145729,6291458,0,6291458
C_LBDR_property_18,3145729,0,3145729,0,3145729,3145729,6291458,0,6291458
C_LBDR_property_19,3145729,0,2965549,180180,3145729,3145729,6111278,180180,6291458
C_LBDR_property_20,3145729,0,3145729,0,3145729,3145729,6291458,0,6291458
